date,spend,impressions,clicks
2023-01-01,2500.00,120000,2400
2023-01-02,2600.00,125000,2500
2023-01-03,2400.00,115000,2300
2023-01-04,2800.00,135000,2700
2023-01-05,3000.00,145000,2900
2023-01-06,3200.00,155000,3100
2023-01-07,3500.00,170000,3400
2023-01-08,2700.00,130000,2600
2023-01-09,2550.00,122000,2450
2023-01-10,2850.00,137000,2750
2023-01-11,3050.00,147000,2950
2023-01-12,3150.00,152000,3050
2023-01-13,3350.00,162000,3250
2023-01-14,3700.00,180000,3600
2023-01-15,2800.00,135000,2700
2023-01-16,2650.00,127000,2550
2023-01-17,2950.00,142000,2850
2023-01-18,3100.00,150000,3000
2023-01-19,3250.00,157000,3150
2023-01-20,3450.00,167000,3350
2023-01-21,3800.00,185000,3700
2023-01-22,2900.00,140000,2800
2023-01-23,2750.00,132000,2650
2023-01-24,3000.00,145000,2900
2023-01-25,3200.00,155000,3100
2023-01-26,3300.00,160000,3200
2023-01-27,3550.00,172000,3450
2023-01-28,3900.00,190000,3800
2023-01-29,2950.00,142000,2850
2023-01-30,2800.00,135000,2700
2023-01-31,3100.00,150000,3000
