date,spend,impressions,clicks
2023-01-01,600.00,35000,480
2023-01-02,630.00,37000,504
2023-01-03,580.00,34000,464
2023-01-04,680.00,40000,544
2023-01-05,720.00,42000,576
2023-01-06,760.00,44000,608
2023-01-07,820.00,48000,656
2023-01-08,650.00,38000,520
2023-01-09,610.00,36000,488
2023-01-10,700.00,41000,560
2023-01-11,740.00,43000,592
2023-01-12,780.00,45000,624
2023-01-13,800.00,46000,640
2023-01-14,860.00,50000,688
2023-01-15,680.00,40000,544
2023-01-16,640.00,37000,512
2023-01-17,720.00,42000,576
2023-01-18,760.00,44000,608
2023-01-19,790.00,46000,632
2023-01-20,830.00,48000,664
2023-01-21,890.00,52000,712
2023-01-22,700.00,41000,560
2023-01-23,660.00,38000,528
2023-01-24,730.00,43000,584
2023-01-25,770.00,45000,616
2023-01-26,800.00,46000,640
2023-01-27,850.00,49000,680
2023-01-28,920.00,54000,736
2023-01-29,720.00,42000,576
2023-01-30,680.00,40000,544
2023-01-31,750.00,44000,600
