date,spend,impressions,clicks
2023-01-01,1500.00,75000,1200
2023-01-02,1600.00,80000,1300
2023-01-03,1450.00,72000,1150
2023-01-04,1700.00,85000,1400
2023-01-05,1800.00,90000,1500
2023-01-06,2000.00,100000,1700
2023-01-07,2200.00,110000,1900
2023-01-08,1650.00,82000,1350
2023-01-09,1550.00,77000,1250
2023-01-10,1750.00,87000,1450
2023-01-11,1850.00,92000,1550
2023-01-12,1950.00,97000,1650
2023-01-13,2100.00,105000,1800
2023-01-14,2300.00,115000,2000
2023-01-15,1700.00,85000,1400
2023-01-16,1600.00,80000,1300
2023-01-17,1800.00,90000,1500
2023-01-18,1900.00,95000,1600
2023-01-19,2000.00,100000,1700
2023-01-20,2150.00,107000,1850
2023-01-21,2400.00,120000,2100
2023-01-22,1750.00,87000,1450
2023-01-23,1650.00,82000,1350
2023-01-24,1850.00,92000,1550
2023-01-25,1950.00,97000,1650
2023-01-26,2050.00,102000,1750
2023-01-27,2200.00,110000,1900
2023-01-28,2500.00,125000,2200
2023-01-29,1800.00,90000,1500
2023-01-30,1700.00,85000,1400
2023-01-31,1900.00,95000,1600
