date,revenue,orders
2023-01-01,45000.00,450
2023-01-02,47000.00,470
2023-01-03,43000.00,430
2023-01-04,52000.00,520
2023-01-05,55000.00,550
2023-01-06,58000.00,580
2023-01-07,65000.00,650
2023-01-08,48000.00,480
2023-01-09,44000.00,440
2023-01-10,53000.00,530
2023-01-11,56000.00,560
2023-01-12,59000.00,590
2023-01-13,62000.00,620
2023-01-14,70000.00,700
2023-01-15,51000.00,510
2023-01-16,46000.00,460
2023-01-17,54000.00,540
2023-01-18,57000.00,570
2023-01-19,60000.00,600
2023-01-20,64000.00,640
2023-01-21,72000.00,720
2023-01-22,50000.00,500
2023-01-23,45000.00,450
2023-01-24,55000.00,550
2023-01-25,58000.00,580
2023-01-26,61000.00,610
2023-01-27,66000.00,660
2023-01-28,75000.00,750
2023-01-29,52000.00,520
2023-01-30,48000.00,480
2023-01-31,56000.00,560
